index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,status,hasLift,parkingSpace,newDevelopmentFinished,Week,topNewDevelopment
2,89201444,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/65/7b/27/765770010.jpg,AN SAF,32,4,219000.0,flat,sale,76.0,True,2,1,Calle de Sardenya,Barcelona,Barcelona,Eixample,es,La Sagrada Família,41.4016845,2.1733711,False,https://www.idealista.com/inmueble/89201444/,1640,True,False,2882.0,{'typology': 'flat'},"{'subtitle': 'La Sagrada Família, Barcelona', 'title': 'Piso en Calle de Sardenya'}",False,False,False,good,False,,,16,
3,89194602,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/68/2d/765555408.jpg,PBJREB,14,3,215000.0,flat,sale,83.0,True,3,1,barrio La Marina del Port,Barcelona,Barcelona,Sants-Montjuïc,es,La Marina del Port,41.3583725,2.1400873,False,https://www.idealista.com/inmueble/89194602/,3936,False,False,2590.0,{'typology': 'flat'},"{'subtitle': 'La Marina del Port, Barcelona', 'title': 'Piso'}",False,False,False,good,True,,,16,
4,89203294,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/54/f6/12/765809821.jpg,BCN11020V,13,,360000.0,flat,sale,65.0,False,3,1,Calle de l'Àliga,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3759009,2.1415716,False,https://www.idealista.com/inmueble/89203294/,2427,False,False,5538.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': ""Piso en Calle de l'Àliga""}",False,False,False,good,True,,,16,
5,89203293,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/67/16/4d/765809774.jpg,BCN11019V,14,,300000.0,flat,sale,64.0,False,2,1,Calle de l'Àliga,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3732009,2.1440716,False,https://www.idealista.com/inmueble/89203293/,2449,False,False,4688.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': ""Piso en Calle de l'Àliga""}",False,False,False,good,True,,,16,
6,89203305,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/5a/b0/765809834.jpg,BCN11021V,14,,330000.0,flat,sale,64.0,False,2,1,Calle de l'Àliga,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3737009,2.1417716,False,https://www.idealista.com/inmueble/89203305/,2559,False,False,5156.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': ""Piso en Calle de l'Àliga""}",False,False,False,good,True,,,16,
7,89198900,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/07/33/b5/765869705.jpg,PB-SNT150K,11,6,150000.0,flat,sale,40.0,True,2,1,Calle de Sants,Barcelona,Barcelona,Sants-Montjuïc,es,Sants - Badal,41.3742124,2.1260448,False,https://www.idealista.com/inmueble/89198900/,3651,True,False,3750.0,{'typology': 'flat'},"{'subtitle': 'Sants - Badal, Barcelona', 'title': 'Piso en Calle de Sants'}",True,False,False,good,True,,,16,
8,89199633,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b9/3c/8e/765711921.jpg,COIMBRA,12,bj,220000.0,flat,sale,74.0,True,3,1,Calle de Coïmbra,Barcelona,Barcelona,Horta Guinardó,es,Horta,41.4311178,2.155446,False,https://www.idealista.com/inmueble/89199633/,4858,False,False,2973.0,{'typology': 'flat'},"{'subtitle': 'Horta, Barcelona', 'title': 'Piso en Calle de Coïmbra'}",True,False,False,good,True,,,16,
9,89203290,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9c/73/e1/765809740.jpg,BCN11016V,14,,259000.0,flat,sale,79.0,False,2,1,Calle de l'Àliga,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3751009,2.1436716,False,https://www.idealista.com/inmueble/89203290/,2338,False,False,3278.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': ""Piso en Calle de l'Àliga""}",False,False,False,good,True,,,16,
10,89203306,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e8/14/bb/765809891.jpg,BCN11023V,13,,375000.0,flat,sale,64.0,False,2,1,Calle de l'Àliga,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3761009,2.1433716,False,https://www.idealista.com/inmueble/89203306/,2291,False,False,5859.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': ""Piso en Calle de l'Àliga""}",False,False,False,good,True,,,16,
11,89199180,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/92/41/30/694251119.jpg,1º,23,,290000.0,flat,sale,84.0,True,3,2,"Calle Estrella, 47",Barcelona,Hospitalet de Llobregat,Centre,es,Sant Josep,41.3642776,2.1068922,True,https://www.idealista.com/obra-nueva/89199180/,5575,False,True,3452.0,{'typology': 'flat'},"{'subtitle': 'Sant Josep, Hospitalet de Llobregat', 'title': 'Piso en Calle Estrella, 47'}",True,False,False,newdevelopment,True,,False,16,
